gvkey,gvkeyx,from,thru,conm,tic,co_conm,co_tic
006375,000003,03/31/1964,,S&P 500 Comp-Ltd,I0003,KELLOGG CO,K
006435,000003,03/31/1964,,S&P 500 Comp-Ltd,I0003,KIMBERLY-CLARK CORP,KMB
006502,000003,03/31/1964,,S&P 500 Comp-Ltd,I0003,KROGER CO,KR
007163,000003,03/31/1964,,S&P 500 Comp-Ltd,I0003,S&P GLOBAL INC,SPGI
007241,000003,03/31/1964,,S&P 500 Comp-Ltd,I0003,CVS HEALTH CORP,CVS
007257,000003,03/31/1964,,S&P 500 Comp-Ltd,I0003,MERCK & CO,MRK
007366,000003,03/31/1964,,S&P 500 Comp-Ltd,I0003,ENTERGY CORP,ETR
007435,000003,03/31/1964,,S&P 500 Comp-Ltd,I0003,3M CO,MMM
007585,000003,03/31/1964,,S&P 500 Comp-Ltd,I0003,MOTOROLA SOLUTIONS INC,MSI
007923,000003,03/31/1964,,S&P 500 Comp-Ltd,I0003,NORFOLK SOUTHERN CORP,NSC
007977,000003,03/31/1964,,S&P 500 Comp-Ltd,I0003,XCEL ENERGY INC,XEL
008099,000003,03/31/1964,,S&P 500 Comp-Ltd,I0003,FIRSTENERGY CORP,FE
008247,000003,03/31/1964,,S&P 500 Comp-Ltd,I0003,PPG INDUSTRIES INC,PPG
008272,000003,03/31/1964,,S&P 500 Comp-Ltd,I0003,SEMPRA ENERGY,SRE
008479,000003,03/31/1964,,S&P 500 Comp-Ltd,I0003,PEPSICO INC,PEP
008530,000003,03/31/1964,,S&P 500 Comp-Ltd,I0003,PFIZER INC,PFE
008539,000003,03/31/1964,,S&P 500 Comp-Ltd,I0003,EXELON CORP,EXC
008543,000003,03/31/1964,,S&P 500 Comp-Ltd,I0003,ALTRIA GROUP INC,MO
008549,000003,03/31/1964,,S&P 500 Comp-Ltd,I0003,CONOCOPHILLIPS,COP
008762,000003,03/31/1964,,S&P 500 Comp-Ltd,I0003,PROCTER & GAMBLE CO,PG
008810,000003,03/31/1964,,S&P 500 Comp-Ltd,I0003,PUBLIC SERVICE ENTRP GRP INC,PEG
009203,000003,03/31/1964,,S&P 500 Comp-Ltd,I0003,ROCKWELL AUTOMATION,ROK
009846,000003,03/31/1964,,S&P 500 Comp-Ltd,I0003,EDISON INTERNATIONAL,EIX
009850,000003,03/31/1964,,S&P 500 Comp-Ltd,I0003,SOUTHERN CO,SO
010499,000003,03/31/1964,,S&P 500 Comp-Ltd,I0003,TEXAS INSTRUMENTS INC,TXN
010867,000003,03/31/1964,,S&P 500 Comp-Ltd,I0003,UNION PACIFIC CORP,UNP
011456,000003,03/31/1964,,S&P 500 Comp-Ltd,I0003,WEYERHAEUSER CO,WY
011465,000003,03/31/1964,,S&P 500 Comp-Ltd,I0003,WHIRLPOOL CORP,WHR
011636,000003,03/31/1964,,S&P 500 Comp-Ltd,I0003,XEROX HOLDINGS CORP,XRX
010120,000003,03/31/1964,05/31/1964,S&P 500 Comp-Ltd,I0003,STUDEBAKER-WORTHINGTON INC,SKW
186940,000003,03/31/1964,05/31/1964,S&P 500 Comp-Ltd,I0003,TEXAS GULF PRODUCING CO,TR.1
011347,000003,03/31/1964,08/31/1964,S&P 500 Comp-Ltd,I0003,WELBILT CORP,WBLT
186948,000003,03/31/1964,08/31/1964,S&P 500 Comp-Ltd,I0003,SEE CENTRAL,5740B
187080,000003,03/31/1964,08/31/1964,S&P 500 Comp-Ltd,I0003,CELOTEX CORP,CLO.1
186925,000003,03/31/1964,11/30/1964,S&P 500 Comp-Ltd,I0003,NY CHICAGO & ST LOUIS RR,NKP.
006096,000003,03/31/1964,02/28/1965,S&P 500 Comp-Ltd,I0003,MALLINCKRODT INC,MKG
186910,000003,03/31/1964,02/28/1965,S&P 500 Comp-Ltd,I0003,ALCO PRODUCTS INC,AP.
186913,000003,03/31/1964,02/28/1965,S&P 500 Comp-Ltd,I0003,HEWITT-ROBINS CONVEYOR EQPMT,HEW.1
186914,000003,03/31/1964,02/28/1965,S&P 500 Comp-Ltd,I0003,ALDENS INC,AUD.1
186937,000003,03/31/1964,02/28/1965,S&P 500 Comp-Ltd,I0003,SMITH-DOUGLAS CO INC,SDG.2
186944,000003,03/31/1964,02/28/1965,S&P 500 Comp-Ltd,I0003,RELIANCE MANUFACTURING,RMC
186949,000003,03/31/1964,02/28/1965,S&P 500 Comp-Ltd,I0003,ROYAL MCBEE CORP,RMB.1
187091,000003,03/31/1964,02/28/1965,S&P 500 Comp-Ltd,I0003,JAEGER MACHINE CO,JAE
001302,000003,03/31/1964,05/31/1965,S&P 500 Comp-Ltd,I0003,ALLIED SUPERMARKETS,ASU.1
003249,000003,03/31/1964,05/31/1965,S&P 500 Comp-Ltd,I0003,COMMERCIAL SOLVENTS CORP,CV.4
003810,000003,03/31/1964,05/31/1965,S&P 500 Comp-Ltd,I0003,DAY INTERNATIONAL INC,MAH1
009656,000003,03/31/1964,05/31/1965,S&P 500 Comp-Ltd,I0003,SHELLER-GLOBE,4969C
010684,000003,03/31/1964,05/31/1965,S&P 500 Comp-Ltd,I0003,TRANSITRON ELECTRONIC CORP,4482B
186927,000003,03/31/1964,05/31/1965,S&P 500 Comp-Ltd,I0003,PENICK & FORD LTD,PFK.
015343,000003,03/31/1964,08/31/1965,S&P 500 Comp-Ltd,I0003,MUELLER INDUSTRIES,MLI
001753,000003,03/31/1964,11/30/1965,S&P 500 Comp-Ltd,I0003,ARMADA CORP,3AMDA
186930,000003,03/31/1964,11/30/1965,S&P 500 Comp-Ltd,I0003,BRIGGS MANUFACTURING CO,BG.1
186933,000003,03/31/1964,11/30/1965,S&P 500 Comp-Ltd,I0003,CONDE NAST PUBLICATIONS LTD,NAS.2
186946,000003,03/31/1964,11/30/1965,S&P 500 Comp-Ltd,I0003,REPUBLIC AVIATION CORP,RA.2
187117,000003,03/31/1964,11/30/1965,S&P 500 Comp-Ltd,I0003,SPIEGEL INC,SM.2
186912,000003,03/31/1964,02/28/1966,S&P 500 Comp-Ltd,I0003,DREWRYS LTD,DRE.
004322,000003,03/31/1964,05/31/1966,S&P 500 Comp-Ltd,I0003,EMERSON RADIO CORP,MSN
186919,000003,03/31/1964,05/31/1966,S&P 500 Comp-Ltd,I0003,KVP SUTHERLAND PAPER CO,KSP.
186929,000003,03/31/1964,05/31/1966,S&P 500 Comp-Ltd,I0003,BRACH (EJ) & SONS,BRK.2
186939,000003,03/31/1964,05/31/1966,S&P 500 Comp-Ltd,I0003,SUNSHINE BISCUIT INC,SUS.1
186941,000003,03/31/1964,05/31/1966,S&P 500 Comp-Ltd,I0003,THATCHER GLASS MANUFACTURING,TMC.2
187077,000003,03/31/1964,08/31/1966,S&P 500 Comp-Ltd,I0003,CONSOLIDATION COAL CO,CSC.1
001993,000003,03/31/1964,11/30/1966,S&P 500 Comp-Ltd,I0003,BALTIMORE & OHIO RAILROAD CO,2305B
006809,000003,03/31/1964,11/30/1966,S&P 500 Comp-Ltd,I0003,COMFORCE CORP,CFS
011405,000003,03/31/1964,11/30/1966,S&P 500 Comp-Ltd,I0003,WESTERN MARYLAND RAILWAY CO,WMRY
011414,000003,03/31/1964,11/30/1966,S&P 500 Comp-Ltd,I0003,WESTERN PACIFIC RR-CA,UNP1
013499,000003,03/31/1964,11/30/1966,S&P 500 Comp-Ltd,I0003,STORER COMMUNICATIONS INC,4660C
186931,000003,03/31/1964,11/30/1966,S&P 500 Comp-Ltd,I0003,CHICAGO GREAT WESTERN RR CO,CGW.1
186934,000003,03/31/1964,11/30/1966,S&P 500 Comp-Ltd,I0003,SEABOARD AIR LINE RAILROAD,SBD
186943,000003,03/31/1964,11/30/1966,S&P 500 Comp-Ltd,I0003,UNITED GAS CORP,UGC
187087,000003,03/31/1964,11/30/1966,S&P 500 Comp-Ltd,I0003,PARAMOUNT PICTURES CORP,PXN.
002917,000003,03/31/1964,02/28/1967,S&P 500 Comp-Ltd,I0003,CHAMPION INTERNATIONAL CORP,CHA.3
002104,000003,03/31/1964,05/31/1967,S&P 500 Comp-Ltd,I0003,BEAUNIT CORP,BEM.1
004056,000003,03/31/1964,05/31/1967,S&P 500 Comp-Ltd,I0003,DOUGLAS AIRCRAFT INC,D.1
006913,000003,03/31/1964,05/31/1967,S&P 500 Comp-Ltd,I0003,MACK TRUCKS INC,MACK.1
010880,000003,03/31/1964,05/31/1967,S&P 500 Comp-Ltd,I0003,UNITED ARTISTS ENT  -CL A,UAECA
011515,000003,03/31/1964,05/31/1967,S&P 500 Comp-Ltd,I0003,WILSON & CO-DEL,WIL.1
186922,000003,03/31/1964,05/31/1967,S&P 500 Comp-Ltd,I0003,BIGELOW-SANFORD CARPET CO,BGS.4
186950,000003,03/31/1964,05/31/1967,S&P 500 Comp-Ltd,I0003,RUBEROID CO,RBR
001192,000003,03/31/1964,08/31/1967,S&P 500 Comp-Ltd,I0003,AGUIRRE CO,AGG.2
004841,000003,03/31/1964,08/31/1967,S&P 500 Comp-Ltd,I0003,FOREMOST DAIRIES INC,FOR.1
007171,000003,03/31/1964,08/31/1967,S&P 500 Comp-Ltd,I0003,MCKESSON CORP,MCK
011105,000003,03/31/1964,08/31/1967,S&P 500 Comp-Ltd,I0003,VANADIUM CORP,VCA.2
011283,000003,03/31/1964,08/31/1967,S&P 500 Comp-Ltd,I0003,WARNER BROS SEVEN ARTS LTD,WBS.1
186916,000003,03/31/1964,08/31/1967,S&P 500 Comp-Ltd,I0003,HOLT RHINEHART & WINSTON,HRW.1
186920,000003,03/31/1964,08/31/1967,S&P 500 Comp-Ltd,I0003,LINK-BELT CO,LKB
186921,000003,03/31/1964,08/31/1967,S&P 500 Comp-Ltd,I0003,ATLANTIC COAST LINE RR CO,AX.
186947,000003,03/31/1964,08/31/1967,S&P 500 Comp-Ltd,I0003,ROCKWELL STANDARD CORP,RKS.
186951,000003,03/31/1964,08/31/1967,S&P 500 Comp-Ltd,I0003,SOUTH PUERTO RICO SUGAR,PSU
003708,000003,03/31/1964,11/30/1967,S&P 500 Comp-Ltd,I0003,WENDY'S CO,WEN
011601,000003,03/31/1964,11/30/1967,S&P 500 Comp-Ltd,I0003,WORTHINGTON CORP,WTH.
186942,000003,03/31/1964,11/30/1967,S&P 500 Comp-Ltd,I0003,TIDEWATER OIL CO,TV.3
003411,000003,03/31/1964,02/29/1968,S&P 500 Comp-Ltd,I0003,CONSOLIDATED CIGAR CORP,CDR.1
003987,000003,03/31/1964,02/29/1968,S&P 500 Comp-Ltd,I0003,DIVCO WAYNE CORP,DCO.
007701,000003,03/31/1964,02/29/1968,S&P 500 Comp-Ltd,I0003,NATIONAL ACME CO,NCM.1
186917,000003,03/31/1964,02/29/1968,S&P 500 Comp-Ltd,I0003,ISLAND CREEK COAL CO,ICR.
186918,000003,03/31/1964,02/29/1968,S&P 500 Comp-Ltd,I0003,AMERN POTASH & CHEMICAL CO,APO.1
186924,000003,03/31/1964,02/29/1968,S&P 500 Comp-Ltd,I0003,NEW YORK CENTRAL RAILROAD,CN.3
186928,000003,03/31/1964,02/29/1968,S&P 500 Comp-Ltd,I0003,EW BLISS CO INC,EWB.
002478,000003,03/31/1964,05/31/1968,S&P 500 Comp-Ltd,I0003,BULLARD CO,BLD.1
003660,000003,03/31/1964,05/31/1968,S&P 500 Comp-Ltd,I0003,CURTIS PUBLISHING CO,CUR.2
008406,000003,03/31/1964,05/31/1968,S&P 500 Comp-Ltd,I0003,PEABODY COAL CO,PDY.1
011433,000003,03/31/1964,05/31/1968,S&P 500 Comp-Ltd,I0003,WESTINGHOUSE AIRBRAKE CO,WK.1
186923,000003,03/31/1964,05/31/1968,S&P 500 Comp-Ltd,I0003,BLAW-KNOX CO,BK.1
187086,000003,03/31/1964,05/31/1968,S&P 500 Comp-Ltd,I0003,CALUMET & HECLA INC,CAH.1
187095,000003,03/31/1964,05/31/1968,S&P 500 Comp-Ltd,I0003,GINN & CO,GNN.
001560,000003,03/31/1964,08/31/1968,S&P 500 Comp-Ltd,I0003,AMERICAN SHIP BUILDING CO,3ASBG
002670,000003,03/31/1964,08/31/1968,S&P 500 Comp-Ltd,I0003,CANADA DRY,CD.2
003386,000003,03/31/1964,08/31/1968,S&P 500 Comp-Ltd,I0003,CONGOLEUM CORP,COG.2
003454,000003,03/31/1964,08/31/1968,S&P 500 Comp-Ltd,I0003,CONTINENTAL BAKING CO,CI.3
003630,000003,03/31/1964,08/31/1968,S&P 500 Comp-Ltd,I0003,CRUCIBLE INC,COT1
005054,000003,03/31/1964,08/31/1968,S&P 500 Comp-Ltd,I0003,GENERAL FINANCE CO,GFN.2
007141,000003,03/31/1964,08/31/1968,S&P 500 Comp-Ltd,I0003,MCCALL CORP,MLL.1
009456,000003,03/31/1964,08/31/1968,S&P 500 Comp-Ltd,I0003,SCHENLEY INDUSTRIES INC,SH.1
011314,000003,03/31/1964,08/31/1968,S&P 500 Comp-Ltd,I0003,WAUKESHA MOTORS,WKU
014591,000003,03/31/1964,08/31/1968,S&P 500 Comp-Ltd,I0003,COMMERCIAL CREDIT CO,5428A
064096,000003,03/31/1964,08/31/1968,S&P 500 Comp-Ltd,I0003,NEWPORT NEWS SHIPBUILDING,NNS
186911,000003,03/31/1964,08/31/1968,S&P 500 Comp-Ltd,I0003,DELAWARE AND HUDSON RAILWAY,DH.1
186935,000003,03/31/1964,08/31/1968,S&P 500 Comp-Ltd,I0003,CONGOLEUM-NAIRN INC,COG.4
186945,000003,03/31/1964,08/31/1968,S&P 500 Comp-Ltd,I0003,VAN RAALTE CO,VRT.1
003446,000003,03/31/1964,11/30/1968,S&P 500 Comp-Ltd,I0003,CONTAINER CORP OF AMER-OLD,CNR.3
006732,000003,03/31/1964,11/30/1968,S&P 500 Comp-Ltd,I0003,LILY-TULIP INC,LILY
006810,000003,03/31/1964,11/30/1968,S&P 500 Comp-Ltd,I0003,LORILLARD CORP,LL.1
007544,000003,03/31/1964,11/30/1968,S&P 500 Comp-Ltd,I0003,MONTGOMERY WARD HLDG  -CL A,9283B
007806,000003,03/31/1964,11/30/1968,S&P 500 Comp-Ltd,I0003,NEISNER BROTHERS INC,1419B
001057,000003,03/31/1964,02/28/1969,S&P 500 Comp-Ltd,I0003,ABEX CORP,8892A
008906,000003,03/31/1964,02/28/1969,S&P 500 Comp-Ltd,I0003,R S N PROJECTS INC,NSUG
009744,000003,03/31/1964,02/28/1969,S&P 500 Comp-Ltd,I0003,SINCLAIR OIL CORP,L.1
010956,000003,03/31/1964,02/28/1969,S&P 500 Comp-Ltd,I0003,U S LINES CO-N J,USL.1
186936,000003,03/31/1964,02/28/1969,S&P 500 Comp-Ltd,I0003,SEABOARD FINANCE CO,SFC.4
001809,000003,03/31/1964,05/31/1969,S&P 500 Comp-Ltd,I0003,ASSOCIATED INVESTMENT SECS,ATS.1
006941,000003,03/31/1964,05/31/1969,S&P 500 Comp-Ltd,I0003,MAGMA COPPER CO  -OLD,MMX.1
003112,000003,03/31/1964,08/31/1969,S&P 500 Comp-Ltd,I0003,CLEVITE CORP,CGH.1
008811,000003,03/31/1964,02/28/1970,S&P 500 Comp-Ltd,I0003,PUBLICARD INC,CARD
266101,000003,03/31/1964,02/28/1970,S&P 500 Comp-Ltd,I0003,NORTHERN PACIFIC RAILWAY CO,NP.1
001722,000003,03/31/1964,05/31/1970,S&P 500 Comp-Ltd,I0003,ARCHER-DANIELS-MIDLAND CO,ADM
002095,000003,03/31/1964,05/31/1970,S&P 500 Comp-Ltd,I0003,BAYUK CIGARS INC,BYK.
002864,000003,03/31/1964,05/31/1970,S&P 500 Comp-Ltd,I0003,CENTRAL SOYA CO INC,5585A
003642,000003,03/31/1964,05/31/1970,S&P 500 Comp-Ltd,I0003,CULBRO CORP,CBO.2
003662,000003,03/31/1964,05/31/1970,S&P 500 Comp-Ltd,I0003,CURTISS-WRIGHT CORP,CW
006537,000003,03/31/1964,05/31/1970,S&P 500 Comp-Ltd,I0003,LTV STEEL CO INC,3LTVCQ3
007156,000003,03/31/1964,05/31/1970,S&P 500 Comp-Ltd,I0003,MCDONOUGH CO,MDO.1
007555,000003,03/31/1964,05/31/1970,S&P 500 Comp-Ltd,I0003,MOORE MCCORMACK RESOURCES,MMR.2
007780,000003,03/31/1964,05/31/1970,S&P 500 Comp-Ltd,I0003,NATIONAL TEA CO,NTY.1
009967,000003,03/31/1964,05/31/1970,S&P 500 Comp-Ltd,I0003,SQUIBB CORP,SQB
010519,000003,03/31/1964,05/31/1970,S&P 500 Comp-Ltd,I0003,TEXTRON INC,TXT
186915,000003,03/31/1964,05/31/1970,S&P 500 Comp-Ltd,I0003,AMERICAN EXPORT LINES INC,AEX.2
002806,000003,03/31/1964,08/31/1970,S&P 500 Comp-Ltd,I0003,CASE (J I) CO,JI.
008352,000003,03/31/1964,11/30/1970,S&P 500 Comp-Ltd,I0003,PARKE DAVIS & CO,PDC.1
010003,000003,03/31/1964,11/30/1970,S&P 500 Comp-Ltd,I0003,STANDARD PACKAGING CORP,SPK.1
001758,000003,03/31/1964,02/28/1971,S&P 500 Comp-Ltd,I0003,ARMOUR & CO,G2
001925,000003,03/31/1964,05/31/1971,S&P 500 Comp-Ltd,I0003,AZCON CORP,AZNC
265975,000003,03/31/1964,05/31/1971,S&P 500 Comp-Ltd,I0003,LOUISVILLE & NASHVILLE RR CO,LN.1
003641,000003,03/31/1964,08/31/1971,S&P 500 Comp-Ltd,I0003,CUDAHY CO,CUDH
005060,000003,03/31/1964,08/31/1971,S&P 500 Comp-Ltd,I0003,GENERAL HOST CORP,GH.2
006990,000003,03/31/1964,11/30/1971,S&P 500 Comp-Ltd,I0003,MANHATTAN INDUSTRIES INC,MHT.1
002541,000003,03/31/1964,02/29/1972,S&P 500 Comp-Ltd,I0003,CF & I STEEL CORP,3CFIPQ
011277,000003,03/31/1964,02/29/1972,S&P 500 Comp-Ltd,I0003,WALWORTH CO,WW.1
002994,000003,03/31/1964,08/31/1972,S&P 500 Comp-Ltd,I0003,CHICAGO MILWAUKEE CORP,CHG.1
003733,000003,03/31/1964,08/31/1972,S&P 500 Comp-Ltd,I0003,DAN RIVER INC  -OLD,DML.1
004895,000003,03/31/1964,08/31/1972,S&P 500 Comp-Ltd,I0003,FREEPORT MCMORAN INC,FTX
007870,000003,03/31/1964,08/31/1972,S&P 500 Comp-Ltd,I0003,NEWBERRY (J J) CO,JJN.1
008370,000003,03/31/1964,08/31/1972,S&P 500 Comp-Ltd,I0003,PASCO INC,PAS.1
008430,000003,03/31/1964,08/31/1972,S&P 500 Comp-Ltd,I0003,PENN CENTRAL CO,PC.2
010510,000003,03/31/1964,08/31/1972,S&P 500 Comp-Ltd,I0003,TEXASGULF INC,TG.2
186932,000003,03/31/1964,08/31/1972,S&P 500 Comp-Ltd,I0003,CHICAGO RCK ISLAND & PACIFIC,RI
001429,000003,03/31/1964,02/28/1973,S&P 500 Comp-Ltd,I0003,AMERICAN CRYSTAL SUGAR CO,2388B
001620,000003,03/31/1964,02/28/1973,S&P 500 Comp-Ltd,I0003,AMSTAR CORP,4072A
005964,000003,03/31/1964,02/28/1973,S&P 500 Comp-Ltd,I0003,INGREDIENT TECHNOLOGY CORP,ITC.1
009977,000003,03/31/1964,02/28/1973,S&P 500 Comp-Ltd,I0003,STALEY CONTINENTAL INC,STA.1
001394,000003,03/31/1964,05/31/1973,S&P 500 Comp-Ltd,I0003,AMERICAN BAKERIES CO,ABA.1
004724,000003,03/31/1964,05/31/1973,S&P 500 Comp-Ltd,I0003,FIRST NATIONAL STORES INC,FST.4
009008,000003,03/31/1964,05/31/1973,S&P 500 Comp-Ltd,I0003,REED TOOL CO,RDT.1
009126,000003,03/31/1964,05/31/1973,S&P 500 Comp-Ltd,I0003,RICHARDSON-VICKS INC,RVI.2
011280,000003,03/31/1964,05/31/1973,S&P 500 Comp-Ltd,I0003,WARD FOODS INC,WD.1
005171,000003,03/31/1964,08/31/1973,S&P 500 Comp-Ltd,I0003,GIMBEL BROTHERS INC,2003A
004154,000003,03/31/1964,11/30/1973,S&P 500 Comp-Ltd,I0003,E S B INC,ESB.
004600,000003,03/31/1964,11/30/1973,S&P 500 Comp-Ltd,I0003,FEDERAL-MOGUL HOLDINGS CORP,FDML
001133,000003,03/31/1964,05/31/1974,S&P 500 Comp-Ltd,I0003,ADMIRAL CORP,ADL.1
002283,000003,03/31/1964,05/31/1974,S&P 500 Comp-Ltd,I0003,BOBBIE BROOKS INC,BBKS
006367,000003,03/31/1964,05/31/1974,S&P 500 Comp-Ltd,I0003,KEEBLER CO,KBR.1
007675,000003,03/31/1964,05/31/1974,S&P 500 Comp-Ltd,I0003,NABISCO INC,NB.3
007457,000003,03/31/1964,08/31/1974,S&P 500 Comp-Ltd,I0003,MISSOURI PACIFIC CORP,MIS.3
005063,000003,03/31/1964,11/30/1974,S&P 500 Comp-Ltd,I0003,GENERAL INSTRUMENT CORP,GIC.3
006765,000003,03/31/1964,11/30/1974,S&P 500 Comp-Ltd,I0003,LITTON INDUSTRIES INC,LIT.1
006952,000003,03/31/1964,11/30/1974,S&P 500 Comp-Ltd,I0003,MAGNAVOX CO,MAG.2
015106,000003,03/31/1964,11/30/1974,S&P 500 Comp-Ltd,I0003,BECKMAN COULTER INC,BEC
001215,000003,03/31/1964,02/28/1975,S&P 500 Comp-Ltd,I0003,AIRCO INC,AN.1
008123,000003,03/31/1964,02/28/1975,S&P 500 Comp-Ltd,I0003,OLIN CORP,OLN
014331,000003,03/31/1964,02/28/1975,S&P 500 Comp-Ltd,I0003,CHEMETRON CORP,5050A
004558,000003,03/31/1964,05/31/1975,S&P 500 Comp-Ltd,I0003,FALSTAFF BREWING CORP,FALB.1
005762,000003,03/31/1964,08/31/1975,S&P 500 Comp-Ltd,I0003,HOWMET CORP,HW.1
003511,000003,03/31/1964,11/30/1975,S&P 500 Comp-Ltd,I0003,COPPER RANGE CO,CPX.1
005261,000003,03/31/1964,11/30/1975,S&P 500 Comp-Ltd,I0003,GRAND UNION CO  -OLD,GUX
005270,000003,03/31/1964,11/30/1975,S&P 500 Comp-Ltd,I0003,GRANT (W.T.) CO,GTY.1
006361,000003,03/31/1964,11/30/1975,S&P 500 Comp-Ltd,I0003,KAYSER-ROTH CORP,KYR.1
006774,000003,03/31/1964,11/30/1975,S&P 500 Comp-Ltd,I0003,LOCKHEED MARTIN CORP,LMT
001420,000003,03/31/1964,02/29/1976,S&P 500 Comp-Ltd,I0003,AMERICAN CHAIN & CABLE INC,ACN.4
002892,000003,03/31/1964,02/29/1976,S&P 500 Comp-Ltd,I0003,CERRO CORP,CDP.3
004937,000003,03/31/1964,02/29/1976,S&P 500 Comp-Ltd,I0003,GAC CORP,GAC.2
006702,000003,03/31/1964,02/29/1976,S&P 500 Comp-Ltd,I0003,LIBBY MCNEILL & LIBBY,LJ.1
008198,000003,03/31/1964,02/29/1976,S&P 500 Comp-Ltd,I0003,OTIS ELEVATOR CO,OT.
009523,000003,03/31/1964,02/29/1976,S&P 500 Comp-Ltd,I0003,SCOVILL INC,SCO.1
001043,000003,03/31/1964,05/31/1976,S&P 500 Comp-Ltd,I0003,MULTIGRAPHICS INC,MTI.3
001279,000003,03/31/1964,05/31/1976,S&P 500 Comp-Ltd,I0003,ALLEGHENY ENERGY INC,AYE
001380,000003,03/31/1964,05/31/1976,S&P 500 Comp-Ltd,I0003,HESS CORP,HES
001489,000003,03/31/1964,05/31/1976,S&P 500 Comp-Ltd,I0003,AMERICAN INVESTMENT CO,AIC.2
001738,000003,03/31/1964,05/31/1976,S&P 500 Comp-Ltd,I0003,WASHINGTON MUTUAL FINL CORP,WM1
003039,000003,03/31/1964,05/31/1976,S&P 500 Comp-Ltd,I0003,DUKE ENERGY OHIO INC,CIN1
003439,000003,03/31/1964,05/31/1976,S&P 500 Comp-Ltd,I0003,CMS ENERGY CORP,CMS
003814,000003,03/31/1964,05/31/1976,S&P 500 Comp-Ltd,I0003,DPL INC,AES5
003848,000003,03/31/1964,05/31/1976,S&P 500 Comp-Ltd,I0003,CONECTIV INC,POM2
004103,000003,03/31/1964,05/31/1976,S&P 500 Comp-Ltd,I0003,DUQUESNE LIGHT HOLDINGS INC,DQE
004183,000003,03/31/1964,05/31/1976,S&P 500 Comp-Ltd,I0003,EASTERN AIR LINES,QCTA1
004430,000003,03/31/1964,05/31/1976,S&P 500 Comp-Ltd,I0003,EQT CORP,EQT
004799,000003,03/31/1964,05/31/1976,S&P 500 Comp-Ltd,I0003,DUKE ENERGY FLORIDA INC,DUK9
005079,000003,03/31/1964,05/31/1976,S&P 500 Comp-Ltd,I0003,GPU INC,GPU.
005877,000003,03/31/1964,05/31/1976,S&P 500 Comp-Ltd,I0003,ILLINOVA CORP,ILN
006178,000003,03/31/1964,05/31/1976,S&P 500 Comp-Ltd,I0003,IPALCO ENTERPRISES INC,AES4
006335,000003,03/31/1964,05/31/1976,S&P 500 Comp-Ltd,I0003,KANSAS CITY SOUTHERN,KSU
006547,000003,03/31/1964,05/31/1976,S&P 500 Comp-Ltd,I0003,SPIRE INC,SR
007862,000003,03/31/1964,05/31/1976,S&P 500 Comp-Ltd,I0003,ENERGY EAST CORP,EAS
009149,000003,03/31/1964,05/31/1976,S&P 500 Comp-Ltd,I0003,RIO GRANDE INDUSTRIES,RGI.1
009195,000003,03/31/1964,05/31/1976,S&P 500 Comp-Ltd,I0003,FRONTIER CORP,FRO.1
